x,y,cluster
-31.749174,-22.708965,3
0.9623324,26.879496,4
-22.904417,44.197357,4
31.424828,26.17735,4
-24.685478,37.433468,3
-25.309444,-26.006966,4
-26.797997,35.210022,4
38.023888,25.536142,4
3.857267,-11.700761,0
-8.095667,13.329311,1
-11.076443,3.2034285,3
-27.936102,30.062874,2
-19.382355,11.342307,4
-21.175814,-18.505941,3
-22.25286,32.01568,2
24.596771,-36.360294,2
20.7575,-40.750916,2
24.731031,30.549444,4
-1.9515709,-7.788322,0
-6.7210264,-1.959683,0
12.673599,-16.140198,4
3.0780299,-4.2551494,1
36.381275,-9.107652,4
-32.27562,-3.0285552,1
-13.012933,-10.814374,0
-22.42501,-16.275124,4
13.276015,36.09723,0
16.593195,3.89289,4
-6.3366857,-4.6072016,1
-0.2576967,7.6743293,3
38.977383,18.907373,3
-20.01911,1.0538254,3
-26.02758,-20.221592,3
-8.074773,3.6397798,4
27.76773,38.626842,4
6.712721,-22.078249,3
-46.02082,16.738209,4
-20.658785,-3.0918772,4
1.6890553,-29.629683,4
-39.40443,-13.17209,3
-0.5323583,-27.693443,4
34.15487,25.500502,3
2.7605557,-31.365202,4
-25.953377,13.34004,3
32.08122,-30.565052,1
37.083897,-13.329791,2
1.0283316,-46.52268,2
18.603203,2.3349888,2
9.058433,-14.99278,4
-38.58436,-15.337979,3
4.426277,34.123962,1
14.950842,-13.322297,4
-14.399792,33.55512,4
-27.99164,-8.440584,4
-28.039366,-32.95599,3
17.735607,-25.536871,4
-5.1478734,46.109745,4
-0.3063597,22.386576,4
-8.588581,0.3949745,4
25.39375,0.41874465,3
-14.2060795,-39.193897,1
2.5557969,-4.8842096,0
21.07692,26.613174,4
45.815655,-7.3618655,3
-5.823504,-46.788074,0
-18.909592,36.05896,3
0.7213083,-42.727467,3
-1.4274538,-25.72904,4
-6.142126,-28.115442,3
18.199331,-10.730507,3
6.599419,5.6973715,1
14.324259,-20.039766,4
18.37917,-11.6863,3
0.5648389,-23.87812,4
6.4094243,-18.985914,3
23.345448,6.9221735,4
-31.908106,-22.203056,1
14.210211,-9.512118,4
-40.56865,-22.30562,3
-2.2170763,5.734685,4
-32.886837,-39.28937,1
6.746547,36.85103,3
